key,value
loc_talent_ogryn_damage_per_enemy_hit_previous_new_desc,"За кожного ворога, якого граець вразив під час однієї ближньої атаки, отримується {damage:%s} до шкоди наступної ближньої атаки."
loc_talent_ogryn_toughness_on_single_heavy_new_desc,"Відновити {toughness:%s} щитів після влучання по одному ворогу ближнім боєм. Відновлення збільшується до {heavy_toughness:%s}, якщо це важка атака."
loc_talent_ogryn_replenish_rock_on_miss_name,Це не рахується.
loc_talent_ogryn_replenish_rock_on_miss_desc,"Відновлюється заряд {talent_name:%s}, якщо попадання у слабке місце або не попадання в жодного ворога. Перезарядка {cooldown_duration:%s}с."
loc_talent_ogryn_big_box_of_hurt_more_bombs,Ще більша коробка болю
loc_talent_ogryn_big_box_of_hurt_more_bombs_desc,+3 додаткові гранати.
loc_talent_ogryn_targets_recieve_damage_increase_debuff_new_desc,"Вороги, ушкоджені ближніми атаками, отримують на {damage:%s} більше шкоди протягом {duration:%s}с."
loc_talent_ogryn_revenge_damage_new_desc,{damage:%s} до шкоди на {duration:%s}с після успішного ухилення або отримання влучання від атаки.
loc_talent_ogryn_damage_reduction_on_high_stamina_name,Накачаний
loc_talent_ogryn_damage_reduction_on_high_stamina_desc,"{damage_taken:%s} до опору шкоді, коли витривалість перевищує {stamina:%s}."
loc_talent_ogryn_melee_attacks_give_mtdr_name,Зосереджений борець
loc_talent_ogryn_melee_attacks_give_mtdr_desc,{reduction:%s} до опору шкоді від ближніх атак за кожну вдалу ближню атаку. Ефект накопичує до {stacks:%s} стаків і зникає при отриманні шкоди від ближньої атаки.
loc_talent_ogryn_damage_reduction_after_elite_kill_name,Силач
loc_talent_ogryn_damage_reduction_after_elite_kill_desc,{damage_reduction:%s} до опору шкоді після вбивства елітного або спеціаліста. Тривалість {duration:%s}с.
loc_talent_ogryn_ranged_damage_immunity,А от і не попадеш
loc_talent_ogryn_ranged_damage_immunity_desc,{resistance:%s} до опору шкоді в дальньому бою на {duration:%s}с після влучання по гравцю дальньою атакою. Перезарядка {cooldown:%s}с.
loc_talent_ogryn_reload_speed_on_empty_name,Продовжуй стріляти!
loc_talent_ogryn_reload_speed_on_empty_desc,{reload_speed:%s} до швидкості перезарядки при перезарядці порожнього магазину.
loc_ability_ogryn_taunt_shout_new_desc,"Дразнити ворогів у межах {radius:%s}м, змушуючи їх атакувати лише гравця протягом {duration:%s}с. Ефект повторюється через {first_pulse:%s}с і ще раз через  {second_pulse:%s}с. Базова перезарядка: {cooldown:%s}с."
loc_talent_ogryn_special_ammo_armor_pen_new_desc,"{rending_multiplier:%s} до пробиття та {damage:%s} до шкоди при дальніх атаках, доки активний {ability:%s}."
loc_talent_ogryn_special_ammo_fire_shots_new_desc,"Дальні атаки накладають {stacks:%s} стаки горіння, доки активна {ability:%s}. Максимум {max_stacks:%s} стаків."
loc_talent_ogryn_taunt_restore_toughness,Без болю!
loc_talent_ogryn_taunt_restore_toughness_new_desc,"{talent_name:%s} і його повторення відновлюють {tougness:%s} щитів та додатково {toughness_per_hit:%s} щосекунди за кожного ураженого ворога, до {max:%s}, протягом {duration:%s}с."
loc_talent_ogryn_melee_stagger_new_desc,{stagger:%s} до імпульсу ближніх атак. Збивання ворога з рівноваги ближньою атакою відновлює {stamina:%s} витривалості. Перезарядка {cooldown:%s}}с.
loc_talent_ogryn_weakspot_damage,Точний удар
loc_talent_ogryn_weakspot_damage_desc,{damage:%s} до сили удару по слабких місцях у ближньому бою
loc_talent_ogryn_melee_damage_after_heavy_name,Відгамселити у відповівдь
loc_talent_ogryn_melee_damage_after_heavy_desc,{melee_damage:%s} до шкоди в ближньому бою після вдалої важкої атаки. Тривалість {duration:%s}с.
loc_talent_ogryn_fully_charged_attacks_gain_damage_and_stagger_new_desc,До {damage:%s} до шкоди та {stagger:%s} до сили удару для твоєї зарядженої ближньої атаки залежно від часу заряджання.
loc_talent_damage_aura_improved_new,{damage:%s} до шкоди ближніх атак для тебе та союзників у єдності. це посилена версія {talent_name:%s}.
loc_talent_ogryn_heavy_bleeds_new_desc,Накладає {stack:%s} стак кровотечі при влучанні ближньою атакою. збільшується до {heavy_stacks:%s} при важкому ударі.
loc_talent_ogryn_pushing_applies_brittlenes,Звіряча сила
loc_talent_ogryn_pushing_applies_brittlenes_desc,{stacks:%s} стаків крихкості при відштовхуванні.
loc_talent_ogryn_corruption_resistance_name,Недалекий
loc_talent_ogryn_corruption_resistance_desc,{resistance:%s} опору до погані.
loc_talent_ogryn_protect_allies_name,За мелкотню
loc_talent_ogryn_protect_allies_desc,"Коли в союзника ламаються щити, отримується {power:%s} сили та {toughness_damage_reduction:%s} зменшення шкоди щитам на {duration:%s}с. Перезарядка {cooldown:%s}с. Коли союзник повалений, отримуєтсья імунітет до оглушення та {revive_speed:%s} до швидкості відродження на {duration:%s}с."
loc_talent_ogryn_block_all_attacks,Незламний
loc_talent_ogryn_block_all_attacks_variant_desc,Ідеальні блоки можуть відбивати всі ближні атаки. Після ідеального блоку отримай {damage:%s} до шкоди наступної атаки.
loc_talent_ogryn_drain_stamina_for_handling,Зосередження
loc_talent_ogryn_drain_stamina_for_handling_desc,"{sway_reduction:%s} зменшення хитання, {spread_reduction:%s} зменшення розкиду та {recoil_reduction:%s} зменшення віддачі під час утримання дальньої зброї, але втрачається {stamina:%s} витривалість за секунду."
