key,value
loc_ability_zealot_stealth,Покров тіней
loc_ability_zealot_stealth_rending_description,"Вхід у невидимість на {duration:%s}с. Під час невидимості надається {movement_speed:%s} швидкість руху, {backstab_damage:%s} шкода від ударів у спину, {finesse_damage:%s} вправність атаки, {crit_chance:%s} шанс критичного удару та {rending:%s} пробиття у ближньому бою. атака знімає ефект невидимості.

Базове Перезарядка: {cooldown:%s}с."
loc_talent_maniac_attack_speed_after_dash,Лють віруючих
loc_talent_maniac_cooldown_on_melee_crits,Заклик смерті
loc_talent_maniac_cooldown_on_melee_crits_buff_desc,{cooldown_regen:%s} відновлення перезарядження здібностей протягом {duration:%s}с після критичних ударів у ближньому бою.
loc_talent_reduced_damage_after_dodge,Гарна рівновага
loc_talent_reduced_damage_after_dodge_description,Успішне ухилення надає {damage:%s} зменшення отриманої шкоди на {duration:%s}с.
loc_talent_zealot_3_passive_2,Очищення нечистих
loc_talent_zealot_3_passive_2_description,{damage:%s} до шкоди проти заражених і непохитних ворогів.
loc_talent_zealot_3_tier_1_ability_3,Міць віри
loc_talent_zealot_3_tier_1_ability_3_description,{health_segment:%s} рани.
loc_talent_zealot_3_tier_2_ability_1,Зневага
loc_talent_zealot_3_tier_2_ability_1_description,{damage:%s} до шкоди до наступної атаки у ближньому бою за кожного влученого ворога. Накопичується до {max_stacks:%s} разів.
loc_talent_zealot_3_tier_3_ability_1,Відплата владики
loc_talent_zealot_3_tier_3_ability_1_description,Відкидує атакуючого ворога при отриманні удару у ближньому бою. Перезарядка: {cooldown:%s}с.
loc_talent_zealot_3_tier_3_ability_2,Кров за імператора
loc_talent_zealot_3_tier_3_ability_2_description,"Шкода, яка мала б перевести здоров’я у наступну рану, зменшується на {damage_reduction:%s}."
loc_talent_zealot_3_tier_4_ability_3,Щит презирства
loc_talent_zealot_3_tier_4_ability_3_description,"Коли гравець або союзник у єдності отримує пошкодження, вони отримують {damage_reduction:%s} зменшення шкоди на {duration:%s}с. Спрацьовує кожні {cooldown:%s}с."
loc_talent_zealot_attack_speed,Шал віри
loc_talent_zealot_attack_speed_after_dash_new_desc,"Ривок уперед, відновлює {toughness:%s} щитів танадає  {attack_speed:%s} швидкості атаки на {time:%s}с. Наступний удар у ближньому бою завдає {damage:%s} шкоди, має {rending:%s} пробиття і гарантує критичний удар.

Базова перезарядка: {cooldown:%s}с

Це посилена версія здібності {talent_name:%s}."
loc_talent_zealot_attack_speed_desc,{attack_speed:%s} швидкості атаки у ближньому бою.
loc_talent_zealot_attack_speed_per_martyrdom,Божевільний
