key,value
loc_horde_tactical_overlay_build_lesser,Малі індульгенції
loc_horde_tactical_overlay_build_major,Великі індульгенції
loc_horde_tactical_overlay_category_sefoni,Індульгенції Сефоні
loc_hordes_buff_bonus_crit_chance_on_ammo_description,Перший {ammo:%s} набой після перезарядки має {crit_chance:%s} шансу критичного пострілу.
loc_hordes_buff_bonus_crit_chance_on_ammo_title,Щасливий постріл
loc_hordes_buff_combat_ability_cooldown_on_kills_description,Убивство ворогів у ближньому бою зменшує час відновлення  здібності на {cooldown:%s}.
loc_hordes_buff_combat_ability_cooldown_on_kills_title,Кровожерність
loc_hordes_buff_crit_chance_per_missing_stamina_bar_description,Отримання {crit_chance:%s} шансу критичного удару за кожний відсутній блок витривалості.
loc_hordes_buff_crit_chance_per_missing_stamina_bar_title,Відчайдушний удар
loc_hordes_buff_critical_melee_hit_infinite_cleave_description,Критичні атаки у ближньому бою мають безкінечне розсічення.
loc_hordes_buff_critical_melee_hit_infinite_cleave_title,Рубай і січи
loc_hordes_buff_damage_reduction_on_critical_hit_description,Отримання {damage_reduction:%s} зниження шкоди після критичної атаки на {time:%s} с.
loc_hordes_buff_damage_reduction_on_critical_hit_title,Критична броня
loc_hordes_buff_explode_enemies_on_critical_kill_description,"Вороги, убиті критичною атакою, вибухають кривавим місевом."
loc_hordes_buff_explode_enemies_on_critical_kill_title,Шал
loc_hordes_buff_explode_enemies_on_ranged_kill_description,"Вороги, убиті дальнім боєм, мають {chance:%s} шансу вибухнути."
loc_hordes_buff_explode_enemies_on_ranged_kill_title,Вибуховий імпульс
loc_hordes_buff_extra_ability_charge_description,Збільшує максимальну кількість стаків здібності на {stack}.
loc_hordes_buff_extra_ability_charge_title,Посилення
loc_hordes_buff_increase_melee_crit_chance_on_ranged_critical_kill_description,"Під час убивства ворога критичним пострілом, отримується {crit_chance:%s} шансу критичного удару у ближньому бою на {time:%s} с."
loc_hordes_buff_increase_melee_crit_chance_on_ranged_critical_kill_title,Наступний удар
loc_hordes_buff_melee_critical_damage_increase_description,Збільшує шкоду від критичних атак у ближньому бою на {crit_damage:%s}.
loc_hordes_buff_melee_critical_damage_increase_title,Дикість
loc_hordes_buff_rending_on_ranged_critical_hit_description,Збільшує пробивання броні на {rending:%s} після критичного пострілу на {time:%s} с.
loc_hordes_buff_rending_on_ranged_critical_hit_title,Бронебійність
loc_horde_mission_type,Тренування в Псайханіумі
loc_horde_psykanium_horde_button,Смертельне випробування
loc_horde_title,Смертельне випробування
loc_horde_title_desc,Увійди до театрів жаху Сефоні та прийми її виклики.
loc_hordes_buff_aoe_shock_closest_enemy_on_interval_description,Кожні {time} с завдавати розряд по площі випадковому ворогу в межах {range} м від гравця.
loc_hordes_buff_aoe_shock_closest_enemy_on_interval_title,Витік Сили
loc_hordes_buff_big_weakspot_damage_increase_description,Шкода по вразливих місцях збільшена на {damage:%s}.
loc_hordes_buff_big_weakspot_damage_increase_title,Смертельний постріл
loc_hordes_buff_bleeding_and_burning_on_melee_hit_description,Атаки у ближньому бою накладають на ворогів {bleed:%s} стаки кровотечі та {burn:%s} стаки горіння.
loc_hordes_buff_bleeding_and_burning_on_melee_hit_title,Кров і вогонь
loc_hordes_buff_critical_damage_from_consecutive_critical_hits_description,"Отримуй {crit_damage:%s} шкоди критичного удару після кожної критичної атаки. До {max_crit_damage:%s}. Усі стаки зникають, якщо мине {time:%s} с до наступного критичного удару.  "
loc_hordes_buff_critical_damage_from_consecutive_critical_hits_title,Машина для вбивств  
loc_hordes_buff_grenade_explosion_applies_elemental_weakness_description,"Вибух гранати послаблює ворожі цілі, роблячи їх на {damage:%s} більш уразливими до шоку, кровотечі та вогню протягом {time} с.  "
loc_hordes_buff_grenade_explosion_applies_elemental_weakness_title,Ослаблюючий вибух  
loc_hordes_buff_grenade_explosion_applies_rending_debuff_description,Вибух гранати накладає на цілі {brittle:%s} крихкість.  
loc_hordes_buff_grenade_explosion_applies_rending_debuff_title,Розривний вибух  
loc_hordes_buff_grenade_explosion_kill_replenish_grenades_description,Імовірність {chance:%s} відновити 3 гранати під час убивства ворога вибухом гранати.  
loc_hordes_buff_grenade_explosion_kill_replenish_grenades_title,Збирач  
loc_hordes_buff_grenade_heals_on_explosion_description,Вибух гранати також відновлює {health:%s} одиниць здоров’я тобі або союзникам у радіусі вибуху.  
loc_hordes_buff_grenade_heals_on_explosion_title,Вибухове підбадьорення  
loc_hordes_buff_grenade_replenishment_over_time_description,Відновлює 1 гранату кожні {time} секунд.  
loc_hordes_buff_grenade_replenishment_over_time_title,"Дивись, що найшов  "
loc_hordes_buff_improved_weapon_reload_on_melee_kill_description,{reload_speed:%s} до швидкості перезарядження після вбивства у ближньому бою. Накопичується до {time} разів.  
loc_hordes_buff_improved_weapon_reload_on_melee_kill_title,Досвідчений оператор  
loc_hordes_buff_increased_damage_after_reload_description,{range:%s} до шкоди на відстані протягом {time} с після перезарядження.  
loc_hordes_buff_increased_damage_after_reload_title,Заряджай і розряджай  
loc_hordes_buff_melee_damage_missing_ammo_in_clip_description,За кожен використаний набій у магазині отримуй {dammage:%s} шкоди у ближньому бою.  
loc_hordes_buff_melee_damage_missing_ammo_in_clip_title,Немає часу на перезарядку 
loc_hordes_buff_ogryn_increase_penetration_during_stance_description,Дальні атаки отримують {penetration:%s} пробиття під час критичних ударів у період дії Вогню Впритул.  
loc_hordes_buff_ogryn_increase_penetration_during_stance_title,Стій і стріляй  
loc_hordes_buff_other_slot_damage_increase_on_kill_description,{dammage:%s} шкоди у ближньому бою за вбивство на відстані або {range:%s} шкоди на відстані за вбивство у ближньому бою. Триває 5 с.  
loc_hordes_buff_other_slot_damage_increase_on_kill_title,Універсальний убивця  
