key,value
loc_adamant_a__lore_hive_cities_four_b_02,Продовжуйте стріляти!
loc_adamant_female_a__ability_charge_a_01,Очистити периметр!
loc_adamant_female_a__ability_charge_a_02,Прориваюся!
loc_adamant_female_a__ability_charge_a_03,Зміна позиції!
loc_adamant_female_a__ability_charge_a_04,Назад!
loc_adamant_female_a__ability_charge_a_05,Вимітайтеся!
loc_adamant_female_a__ability_charge_a_06,Я йду!
loc_adamant_female_a__ability_charge_a_07,Відійдіть!
loc_adamant_female_a__ability_charge_a_08,Розчищаю дорогу!
loc_adamant_female_a__ability_howl_a_01,Здавайтеся! Благайте про пощаду!
loc_adamant_female_a__ability_howl_a_02,Тремтіть перед могутністю Закону!
loc_adamant_female_a__ability_howl_a_03,"Судде Терри, засвідчи мої діяння!"
loc_adamant_female_a__ability_howl_a_04,Обов'язок понад усе!
loc_adamant_female_a__ability_howl_a_05,"Я знайду вас, порушники!"
loc_adamant_female_a__ability_howl_a_06,Закон засуджує вас!
loc_adamant_female_a__ability_howl_a_07,Ви — здобич!
loc_adamant_female_a__ability_howl_a_08,Ви порушили священний Закон!
loc_adamant_female_a__ability_stance_a_01,Немає спочинку від Закону!
loc_adamant_female_a__ability_stance_a_02,Мене не спинити!
loc_adamant_female_a__ability_stance_a_03,Незламна. Непохитна. Нестримна.
loc_adamant_female_a__ability_stance_a_04,Я ніколи не здаюся!
loc_adamant_female_a__ability_stance_a_05,Жодного порятунку! Жодної пощади! Жодного милосердя!
loc_adamant_female_a__ability_stance_a_06,У тебе немає виходу!
loc_adamant_female_a__ability_stance_a_07,Здавайтеся! Поки ще можете!
loc_adamant_female_a__ability_stance_a_08,Закон завжди забирає свою здобич!
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_01_a_01,"Ти хороший солдат, Бегемоте. "
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_01_c_01,"Хотіла б я, щоб усі наші супутники мали твою старанність. "
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_02_a_01,Ти вправний у вбивстві єретиків. 
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_02_c_01,Буде ще... 
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_03_a_01,"Що ти розумієш у Законі, Бегемоте?"
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_03_c_01,"Ні! Закон — наш дім, наша сім'я. "
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_04_a_01,Я раніше ніколи не служила з огріном. 
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_04_c_01,У твоєму підході є приємна прямолінійність. 
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_05_a_01,Ти відчуваєш цей запах? 
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_05_c_01,"Сподіваюся, що ні, якщо тільки ти не гниєш під цим одягом. "
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_06_b_01,"Це порушники Закону, а не Закон, роблять мене... роздратованою. "
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_06_d_01,Слушна думка. Ходімо розважимося. 
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_07_b_01,"Я буду правдивою. Роби добрі справи, і саме це я й доповім. "
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_07_d_01,"Тоді простеж, щоб ти виконав свій обов'язок."
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_08_b_01,"Дякую. Я рада, що ви помітили."
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_08_d_01,Бруд — тимчасовий. А Закон — вічний.
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_09_b_01,"Хороша порада, але це не закон."
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_09_d_01,"Зрештою, ви зробите з нас усіх порушників Закону."
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_10_b_01,Поки що жодного. Я вражена.
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_10_d_01,Жодного — це ЧУДОВО.
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_11_a_01,Ви безстрашні. Я цьому заздрю.
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_11_c_01,Хоробрі. Безстрашні. Нестримні.
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_12_a_01,Ви тренувалися з іншими представниками вашого виду?
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_12_c_01,Чи могла б я... колись потренуватися з вами?
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_13_a_01,"Мій кібер-мастиф, здається, зачарований вами."
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_13_c_01,"Ви, мабуть, видаєтеся йому смачним. Стільки м'яса."
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_14_a_01,"Що ти приховуєш, Бегемоте?"
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_14_c_01,"Кожен щось приховує. Зрештою, я дізнаюся ваші таємниці."
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_15_a_01,Пильно стежте за нашими супутниками. У мене є причини не довіряти декому з них.
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_15_c_01,"Ще й як... стривайте, це було не прохання!"
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_16_b_01,Згодна. Приємно бачити вас у ділі.
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_16_d_01,"Руки, ноги, голови. Навіщо себе обмежувати?"
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_17_b_01,...яким чином?
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_17_d_01,Слід знайти одного й спробувати.
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_18_b_01,Закон — це не людина. Закон — це слово Судді Терри.
loc_adamant_female_a__adamant_female_a_ogryn_bonding_conversation_18_d_01,"Суддя Терри — це... слухайте, тут немає нічого складного."
