key,value
loc_veteran_female_a__ability_ranger_01,Прицільний вогонь!
loc_veteran_female_a__ability_ranger_02,Першочергова пріоритетна ціль!
loc_veteran_female_a__ability_ranger_03,Бойова стійка «Бастіон Двадцять два»!
loc_veteran_female_a__ability_ranger_04,Бастіон Двадцять два вступив у бій!
loc_veteran_female_a__ability_ranger_05,Помічено! Вступаємо в бій!
loc_veteran_female_a__ability_ranger_06,Готується смертельний постріл.
loc_veteran_female_a__ability_ranger_07,Полювання за головами!
loc_veteran_female_a__ability_ranger_08,Усунення альфа-цілі.
loc_veteran_female_a__ability_ranger_09,Усунення первинної цілі.
loc_veteran_female_a__ability_ranger_10,Атака критичної цілі.
loc_veteran_female_a__ability_ranger_11,Прицілювання!
loc_veteran_female_a__ability_ranger_12,Не можна промахнутися. Не промахнуся.
loc_veteran_female_a__ability_ranger_13,Початок точної стрільби!
loc_veteran_female_a__ability_ranger_14,Відкриваю точний вогонь!
loc_veteran_female_a__ability_ranger_15,Смертельний постріл ввімкнено!
loc_veteran_female_a__ability_shock_trooper_01,Приймаю низький профіль.
loc_veteran_female_a__ability_shock_trooper_02,Кріпер 3-12 бойова стійка!
loc_veteran_female_a__ability_shock_trooper_03,Кріпер 3-12 залучений!
loc_veteran_female_a__ability_shock_trooper_04,Переслідування ворога.
loc_veteran_female_a__ability_shock_trooper_05,Прийняття невидимості.
loc_veteran_female_a__ability_shock_trooper_06,Підготовка до таємного удару.
loc_veteran_female_a__ability_shock_trooper_07,Переміщення на позицію для засідки.
loc_veteran_female_a__ability_shock_trooper_08,Відключаюся... Я повернуся.
loc_veteran_female_a__ability_shock_trooper_09,Низький профіль активовано. Передислокація.
loc_veteran_female_a__ability_shock_trooper_10,Переміщення на кращу місцевість.
loc_veteran_female_a__ability_shock_trooper_12,"Знайдіть мене зараз, ви, фрагери!"
loc_veteran_female_a__ability_shock_trooper_13,Переходимо в режим невидимості...
loc_veteran_female_a__ability_shock_trooper_14,Працює в режимі низького профілю.
loc_veteran_female_a__ability_squad_leader_01,Встань і бийся!
loc_veteran_female_a__ability_squad_leader_02,За Імператора!
loc_veteran_female_a__ability_squad_leader_03,Молот Імператора!
loc_veteran_female_a__ability_squad_leader_04,За Гвардію!
loc_veteran_female_a__ability_squad_leader_05,"Бийся так, дурню ніби справді хочеш цього!"
loc_veteran_female_a__ability_squad_leader_06,"Покажи мені, на що ти здатний!"
loc_veteran_female_a__ability_squad_leader_07,Не здаватися!
loc_veteran_female_a__ability_squad_leader_08,За Золотий довбаний Трон!
loc_veteran_female_a__ability_squad_leader_09,Стійте разом! Боріться разом!
loc_veteran_female_a__ability_squad_leader_10,Гвардія ніколи не здається!
loc_veteran_female_a__ability_squad_leader_11,Борись або відповідай мені!
loc_veteran_female_a__ability_squad_leader_12,Перемога або смерть!
loc_veteran_female_a__ability_squad_leader_13,Бойовий порядок! Зараз же паскуди!
loc_veteran_female_a__ability_squad_leader_14,До мене! ... Відправимо їх в пекло!
loc_veteran_female_a__ability_squad_leader_15,Зброю вгору! Відкинути їх назад!
loc_veteran_female_a__adamant_female_b_veteran_bonding_conversation_31_b_01,"Я не знаю, що це означає. Поясни це для дурного солдата, добре?"
loc_veteran_female_a__adamant_female_b_veteran_bonding_conversation_31_d_01,"Бачиш, це дратує, бо я знаю, що ти не жартуєш."
loc_veteran_female_a__adamant_female_b_veteran_bonding_conversation_36_a_01,"Я зустрічав декількох таких, як ви, Завідувачів. Але ви… якісь інші."
loc_veteran_female_a__adamant_female_b_veteran_bonding_conversation_36_c_01,"О так, саме так. Ви надзвичайно веселі для арбітра."
loc_veteran_female_a__alerted_2_enemy_daemonhost_01,Він збирається атакувати!
loc_veteran_female_a__alerted_2_enemy_daemonhost_02,Обережно!
loc_veteran_female_a__alerted_2_enemy_daemonhost_03,Обережно!
loc_veteran_female_a__alerted_2_enemy_daemonhost_04,Відійдіть!
loc_veteran_female_a__alerted_2_enemy_daemonhost_05,Назад!
loc_veteran_female_a__alerted_2_enemy_daemonhost_06,Він атакує!
loc_veteran_female_a__alerted_2_enemy_daemonhost_07,Ми його розлютили!
loc_veteran_female_a__alerted_2_enemy_daemonhost_08,Ми це зробили!
loc_veteran_female_a__alerted_2_enemy_daemonhost_09,Ні! Він атакує!
loc_veteran_female_a__alerted_2_enemy_daemonhost_10,Геть! Геть!
loc_veteran_female_a__alerted_enemy_daemonhost_01,Не турбуйте його!
loc_veteran_female_a__alerted_enemy_daemonhost_02,Не чіпай його!
loc_veteran_female_a__alerted_enemy_daemonhost_03,"Залиште його в спокої! Сподіваємося, що це повернеться нам добром."
loc_veteran_female_a__alerted_enemy_daemonhost_04,Не погіршуй ситуацію!
loc_veteran_female_a__alerted_enemy_daemonhost_05,"Трон Імператора! Залиште, чорт його у спокої."
loc_veteran_female_a__alerted_enemy_daemonhost_06,Не чіпай його!
loc_veteran_female_a__alerted_enemy_daemonhost_07,Не роби цього!
loc_veteran_female_a__alerted_enemy_daemonhost_08,Залиште Демононосія у спокої!
loc_veteran_female_a__alerted_enemy_daemonhost_09,Ти злишся? Дай спокій!
loc_veteran_female_a__alerted_enemy_daemonhost_10,Не провокуйте бляха його!
loc_veteran_female_a__almost_there_01,Недовго залишилося!
loc_veteran_female_a__almost_there_02,Рухайте ногами! Майже дійшли!
loc_veteran_female_a__almost_there_03,Давай! Місія виконана! Час вирушати!
loc_veteran_female_a__almost_there_04,Останній ривок! Повернімось додому!
loc_veteran_female_a__almost_there_05,"Так! Немає нічого кращого, ніж побачити евакуацію, що чекає попереду!"
loc_veteran_female_a__asset_foul_smoke_01,[Кашель] Що це взагалі за гидота?
loc_veteran_female_a__asset_foul_smoke_02,"[Кашель] Дихайте неглибоко, якщо можете."
loc_veteran_female_a__asset_foul_smoke_03,"[Швидке, болісне дихання]"
loc_veteran_female_a__asset_foul_smoke_04,[Кашель] Повітря повне лайна...
loc_veteran_female_a__asset_grease_pit_01,Не хочу впасти в цю яму. Неприємна смерть.
loc_veteran_female_a__asset_grease_pit_02,"Слідкуйте за тим, куди ступаєте. Цей бруд виглядає огидно."
loc_veteran_female_a__asset_nurgle_growth_01,Подивіться на це! Бридко.
loc_veteran_female_a__asset_nurgle_growth_02,"Так, це справжня гидота."
