key,value
loc_zealot_female_a__ability_banisher_01,"Господарю, благослови цю зброю!"
loc_zealot_female_a__ability_banisher_02,"Владико, освяти цю зброю!"
loc_zealot_female_a__ability_banisher_03,"Владико, даруй мені свій гнів!"
loc_zealot_female_a__ability_banisher_04,Нехай гнів поглине моїх ворогів!
loc_zealot_female_a__ability_banisher_05,Я закликаю святий гнів Владики!
loc_zealot_female_a__ability_banisher_06,Даруй мені благословення вогню!
loc_zealot_female_a__ability_banisher_07,Нехай святе полум'я очистить ворога!
loc_zealot_female_a__ability_banisher_08,Владико! Даруй мені свій гнів!
loc_zealot_female_a__ability_banisher_09,Полум'я очистить цих грішників!
loc_zealot_female_a__ability_banisher_10,Я закликаю полум'я спокути!
loc_zealot_female_a__ability_banisher_impact_01,Здохни! ЗДОХНИ!
loc_zealot_female_a__ability_banisher_impact_02,Геть!
loc_zealot_female_a__ability_banisher_impact_03,Я очищаю тебе!
loc_zealot_female_a__ability_banisher_impact_04,Тебе відкуплено!
loc_zealot_female_a__ability_banisher_impact_05,Ти — ніщо!
loc_zealot_female_a__ability_banisher_impact_06,Так! Так! ТАК!
loc_zealot_female_a__ability_banisher_impact_07,"Очищайте єретика, мутанта, нечистих..."
loc_zealot_female_a__ability_banisher_impact_08,До біса тебе!
loc_zealot_female_a__ability_banisher_impact_09,"Пади, грішнику!"
loc_zealot_female_a__ability_banisher_impact_10,Я благословенна!
loc_zealot_female_a__ability_litany_temp_01,Очистіть цих грішників!
loc_zealot_female_a__ability_litany_temp_02,Геть!
loc_zealot_female_a__ability_litany_temp_03,Спрямуй мою лють!
loc_zealot_female_a__ability_litany_temp_04,Нехай буде так!
loc_zealot_female_a__ability_litany_temp_05,За Владику!
loc_zealot_female_a__ability_litany_temp_06,Усі загинуть!
loc_zealot_female_a__ability_litany_temp_07,Покайтеся!
loc_zealot_female_a__ability_litany_temp_08,Геть!
loc_zealot_female_a__ability_maniac_01,За Владику Людства!
loc_zealot_female_a__ability_maniac_02,"Покайтеся, єретики!"
loc_zealot_female_a__ability_maniac_03,Славте Владику!
loc_zealot_female_a__ability_maniac_04,Я — твоя смерть!
loc_zealot_female_a__ability_maniac_05,"Владико, дай мені сили!"
loc_zealot_female_a__ability_maniac_06,Покайтеся! Покайтеся!
loc_zealot_female_a__ability_maniac_07,Зізнайтеся у своїх гріхах!
loc_zealot_female_a__ability_maniac_08,Я очищу тебе!
loc_zealot_female_a__ability_maniac_09,Я скараю тебе!
loc_zealot_female_a__ability_maniac_10,"Владико, споглядай мої діяння!"
loc_zealot_female_a__ability_maniac_11,Я відкуплю тебе!
loc_zealot_female_a__ability_maniac_12,Твоя кара йде!
loc_zealot_female_a__ability_maniac_13,Кара йде!
loc_zealot_female_a__ability_maniac_14,Ти приречений!
loc_zealot_female_a__ability_maniac_15,В ім'я Владики!
loc_zealot_female_a__ability_pious_stabber_01,Я дію непомітно.
loc_zealot_female_a__ability_pious_stabber_02,У тіні — спокута.
loc_zealot_female_a__ability_pious_stabber_03,"Благословенний Владико, сховай мене."
loc_zealot_female_a__ability_pious_stabber_04,"Владико, приховай мої кроки."
loc_zealot_female_a__ability_pious_stabber_05,Я ступаю в тіні.
loc_zealot_female_a__ability_pious_stabber_06,Нехай бояться мого приходу...
loc_zealot_female_a__ability_pious_stabber_07,Я скрадаюся невидимо...
loc_zealot_female_a__ability_pious_stabber_08,Я вічно працюю в темряві...
loc_zealot_female_a__ability_pious_stabber_09,"Я знайду тебе, єретику."
loc_zealot_female_a__ability_pious_stabber_10,Плащ віри приховує все...
loc_zealot_female_a__ability_pious_stabber_11,"Владико, сховай мене від погляду..."
loc_zealot_female_a__ability_pious_stabber_12,"У тінях, створених Владикою..."
loc_zealot_female_a__ability_pious_stabber_13,Віра найяскравіша в темряві...
loc_zealot_female_a__ability_pious_stabber_14,Я б'ю невидимо...
loc_zealot_female_a__ability_pious_stabber_15,"У тінях я знаходжу вас, грішники..."
loc_zealot_female_a__ability_repent_a_01,Покайтеся!
loc_zealot_female_a__ability_repent_a_02,"Я закликаю до тебе, Владико!"
loc_zealot_female_a__ability_repent_a_03,"Геть, єретики!"
loc_zealot_female_a__ability_repent_a_04,Проклинаю тебе!
loc_zealot_female_a__ability_repent_a_05,Я виганяю тебе!
loc_zealot_female_a__ability_repent_a_06,"Тремтіть, єретики!"
loc_zealot_female_a__ability_repent_a_07,"Владико, дай мені свою міць!"
loc_zealot_female_a__ability_repent_a_08,"Владико, яви свою присутність!"
loc_zealot_female_a__ability_repent_a_09,Я закликаю світло!
loc_zealot_female_a__ability_repent_a_10,Я праведна!
loc_zealot_female_a__adamant_female_c_zealot_bonding_conversation_37_a_01,"Ти на диво... завзята... як для твого віровчення. Можливо, ти упустила своє справжнє покликання."
loc_zealot_female_a__alerted_2_enemy_daemonhost_01,Дивіться! Воно прокидається!
loc_zealot_female_a__alerted_2_enemy_daemonhost_02,Стережіться!
loc_zealot_female_a__alerted_2_enemy_daemonhost_03,Стережіться!
loc_zealot_female_a__alerted_2_enemy_daemonhost_04,"Владико, захисти нас!"
loc_zealot_female_a__alerted_2_enemy_daemonhost_05,Захищайтеся!
loc_zealot_female_a__alerted_2_enemy_daemonhost_06,Воно прокидається в гніві!
loc_zealot_female_a__alerted_2_enemy_daemonhost_07,Демон прокидається!
loc_zealot_female_a__alerted_2_enemy_daemonhost_08,Демон прокидається!
loc_zealot_female_a__alerted_2_enemy_daemonhost_09,Виганяю! Виганяю!
loc_zealot_female_a__alerted_2_enemy_daemonhost_10,Скарайте його! Скарайте його!
loc_zealot_female_a__alerted_enemy_daemonhost_01,Залиште його!
loc_zealot_female_a__alerted_enemy_daemonhost_02,Не чіпай його!
loc_zealot_female_a__alerted_enemy_daemonhost_03,Не будіть його!
loc_zealot_female_a__alerted_enemy_daemonhost_04,Ні! Не чіпайте!
loc_zealot_female_a__alerted_enemy_daemonhost_05,Трясця! Не чіпайте його!
loc_zealot_female_a__alerted_enemy_daemonhost_06,Не турбуйте його!
loc_zealot_female_a__alerted_enemy_daemonhost_07,Нехай спить!
loc_zealot_female_a__alerted_enemy_daemonhost_08,Назад! Негайно назад!
loc_zealot_female_a__alerted_enemy_daemonhost_09,Ні! Не будіть його!
loc_zealot_female_a__alerted_enemy_daemonhost_10,Ти його розбудиш!
loc_zealot_female_a__almost_there_01,Ми наближаємось до призначення!
loc_zealot_female_a__almost_there_02,Останнє зусилля!
loc_zealot_female_a__almost_there_03,Владика всміхається нам і нагороджує нас спасінням!
loc_zealot_female_a__almost_there_04,"Слава Владиці, наш транспорт чекає!"
loc_zealot_female_a__almost_there_05,Слава Владиці! Ми повертаємося з тріумфом!
loc_zealot_female_a__asset_foul_smoke_01,Повітря [Кашель]... Гидкіше за подих єретика.
loc_zealot_female_a__asset_foul_smoke_02,"Мої легені палають, наче пекельний вогонь [Кашель]."
loc_zealot_female_a__asset_foul_smoke_03,[Кашель] Яким отруйним димом ми дихаємо?
loc_zealot_female_a__asset_foul_smoke_04,Зараза! [Важке дихання] Зараза в повітрі!
loc_zealot_female_a__asset_grease_pit_01,"Зважай, куди ступаєш. Ця яма з відходами поглине тебе безслідно."
loc_zealot_female_a__asset_grease_pit_02,"Мерзенний мул. Можна сказати, що розум грішника такий самий."
loc_zealot_female_a__asset_nurgle_growth_01,Дивіться на пошесні плоди єресі!
loc_zealot_female_a__asset_nurgle_growth_02,"Споглядайте, отруйна зараза Хаосу!"
loc_zealot_female_a__asset_nurgle_growth_03,Насолоджуйтеся поглядом на цей мерзенний мул!
loc_zealot_female_a__asset_nurgle_growth_04,"Святий Владика, ця наволоч усюди!"
loc_zealot_female_a__asset_nurgle_growth_05,"Клянуся Владикою, я плачу, бачачи, як ця скверна лютує на Атомі!"
loc_zealot_female_a__asset_sigil_01,"А. Символ консулату. Найсвятіша служба, що відповідала за виявлення відступників і нероб по прибутті."
loc_zealot_female_a__asset_sigil_02,"Сумно, що така шляхетна служба, як консулат, переживає важкі часи."
loc_zealot_female_a__asset_unnatural_dark_a_01,"Попереду темно, як у найчорнішій прірві."
loc_zealot_female_a__asset_unnatural_dark_a_02,Ці неохайні негідники не доглядали за освітленням...
loc_zealot_female_a__asset_unnatural_dark_a_03,"Обережно, недоумки. Попереду темні шляхи."
loc_zealot_female_a__asset_unnatural_dark_a_04,Світло Владики не сягнуло цього місця.
loc_zealot_female_a__asset_unnatural_dark_b_01,Ми всі лише іскри в темряві...
loc_zealot_female_a__asset_unnatural_dark_b_02,"Заради милості Владики, дайте світла!"
loc_zealot_female_a__asset_unnatural_dark_b_03,Якби ж ці ліниві недоумки подбали про освітлення...
loc_zealot_female_a__asset_unnatural_dark_b_04,Чи мусимо ми завжди працювати в цій підступній темряві?
loc_zealot_female_a__away_from_squad_01,Де тепер грішники?
loc_zealot_female_a__away_from_squad_02,Вони покинули мене?
loc_zealot_female_a__away_from_squad_03,Грішники? Де ви?
loc_zealot_female_a__away_from_squad_04,Що сталося з моїми супутниками?
loc_zealot_female_a__away_from_squad_05,Я сама. А не повинна.
loc_zealot_female_a__away_from_squad_06,Чого я сам?
loc_zealot_female_a__away_from_squad_07,Чому ви покинули мене?
loc_zealot_female_a__away_from_squad_08,Самотній розум блукає в темряві.
loc_zealot_female_a__away_from_squad_09,Трясця! Куди вони поділися?
loc_zealot_female_a__away_from_squad_10,Я сама. Це поганий знак...
loc_zealot_female_a__blitz_flame_grenade_a_01,Граната спалення!
loc_zealot_female_a__blitz_flame_grenade_a_02,"Горіть, єретики!"
loc_zealot_female_a__blitz_flame_grenade_a_03,Вогняна граната!
loc_zealot_female_a__blitz_flame_grenade_a_04,Випускаю полум'я!
loc_zealot_female_a__blitz_flame_grenade_a_05,Вогняна граната!
loc_zealot_female_a__blitz_flame_grenade_a_06,Нехай полум'я лютує!
loc_zealot_female_a__blitz_flame_grenade_a_07,Спаліть нечистих!
loc_zealot_female_a__blitz_flame_grenade_a_08,Пожертва вогнем!
loc_zealot_female_a__blitz_flame_grenade_a_09,Гнів полум'я!
loc_zealot_female_a__blitz_flame_grenade_a_10,Спалення кличе тебе!
loc_zealot_female_a__bonding_conversation_hand_a_01,Так! Так! Я відчуваю Руку Імператора на своєму плечі сьогодні!
loc_zealot_female_a__bonding_conversation_hand_c_01,Як ти смієш! Я принесла незліченну святу кару.
loc_zealot_female_a__bonding_conversation_hand_e_01,І це не гарантує твого спокутування!
loc_zealot_female_a__bonding_conversation_headshot_extension_vet_a_zea_a_c_01,Справді! Але ще багато хто чекає на суд!
loc_zealot_female_a__bonding_conversation_headshot_extension_vet_a_zea_a_e_01,"Справді, так і зробимо, благословенний Тамплієр!"
loc_zealot_female_a__bonding_conversation_headshot_extension_vet_c_zea_a_c_01,"Шкода Кадію. Та все ж... я впевнена, що світ не впав би, якби його воїни були справді вірними."
loc_zealot_female_a__bonding_conversation_killstreak_extension_vet_a_zea_a_d_01,"Доки ти вірний Імператору, я стоятиму поруч."
loc_zealot_female_a__bonding_conversation_language_b_01,Що ти маєш на увазі?
loc_zealot_female_a__bonding_conversation_language_d_01,"Я... Що ж... Можливо, я й дозволяю собі один-два добірних епітети. Вони мене заспокоюють."
loc_zealot_female_a__bonding_conversation_language_f_01,"Що ж... Можливо, іншим разом."
loc_zealot_female_a__bonding_conversation_metropolitan_aiming_b_01,"Як ти смієш! Владика скеровує мої постріли... але, можливо, ця смертна плоть не настільки сприйнятлива до божественного натхнення, як мені хотілося б."
loc_zealot_female_a__bonding_conversation_metropolitan_aiming_d_01,Дуже добре. Не бачу великої шкоди в такому починанні... Дякую.
loc_zealot_female_a__bonding_conversation_metropolitan_air_sick_a_01,"Сподіваюся, ми не будемо страждати на зворотному шляху, як під час польоту зі «Скорботної Зорі», Глиба?"
loc_zealot_female_a__bonding_conversation_metropolitan_air_sick_c_01,"Ніхто з нас і гадки не мав до того найнеприємнішого моменту. А той запах! Я не вірила, що таке можливо."
loc_zealot_female_a__bonding_conversation_metropolitan_air_sick_e_01,Справді... і за цей маленький акт милосердя я щиро вдячна.
loc_zealot_female_a__bonding_conversation_metropolitan_art_b_01,"Так, я теж прагну поглянути на роботи Фінріса Корвалли. Кажуть, ніхто не передав подобу Святої Месселіни повніше."
loc_zealot_female_a__bonding_conversation_metropolitan_art_d_01,"Нам варто поговорити із Сестрою Золою. Вона, я вважаю, зрозуміє."
loc_zealot_female_a__bonding_conversation_metropolitan_callous_b_01,"Я пережила... важкі часи, це правда. Вважати себе віруючою у цьому злому світі — означає нести великий тягар."
loc_zealot_female_a__bonding_conversation_metropolitan_callous_d_01,"А знайти того, кому можна довірити розділити цей тягар, — це пошук на все життя."
loc_zealot_female_a__bonding_conversation_metropolitan_callous_e_01,Так. На це я мушу сподіватися.
loc_zealot_female_a__bonding_conversation_metropolitan_challenges_b_01,"Воістину! Праведна душа чи мерзенний єретик, ніщо не сховається від його погляду."
loc_zealot_female_a__bonding_conversation_metropolitan_challenges_d_01,"Бо він боїться, що твоя віра слабка. Він ставить... випробування на твоєму шляху."
loc_zealot_female_a__bonding_conversation_metropolitan_challenges_f_01,"Добре, Тамплієре. Можливо, ти все ж пізнаєш його прихильність."
loc_zealot_female_a__bonding_conversation_metropolitan_comrades_b_01,"Ах, але мати і те, і інше — ще краще, чи не так?"
loc_zealot_female_a__bonding_conversation_metropolitan_comrades_d_01,"Не бійся, добрий Тамплієре. Ти завжди в думках Владики, і я завжди буду поруч."
loc_zealot_female_a__bonding_conversation_metropolitan_dedication_b_01,"Гідна мета, хоч я й боюся, що нелегко її досягти. Де є силовики, там процвітає корупція."
loc_zealot_female_a__bonding_conversation_metropolitan_dedication_d_01,"Прошу вибачення, я не хотіла образити. Ти, вочевидь, іншого гарту."
loc_zealot_female_a__bonding_conversation_metropolitan_doubts_b_01,"Час від часу, Глиба. У хвилини сумнівів. Не те щоб це траплялося зі мною часто, розумієш?"
loc_zealot_female_a__bonding_conversation_metropolitan_doubts_d_01,"Так. Так, звичайно, він чує. Чітко і точно. Мої молитви — золота жила серед шлаку. Він ніколи мене не покине. Ніколи!"
loc_zealot_female_a__bonding_conversation_metropolitan_doubts_f_01,Я... [з легкою розпаччю]. Я впевнена.
loc_zealot_female_a__bonding_conversation_metropolitan_emprah_a_01,"Чи поклоняєшся ти Владиці, Глибо?"
loc_zealot_female_a__bonding_conversation_metropolitan_emprah_c_01,"Справді, його міць — це міць віків, спрямована проти негідних. І в тобі я бачу його сильну правицю."
loc_zealot_female_a__bonding_conversation_metropolitan_emprah_e_01,Я впевнена. Якби ж у тебе ще й розуму було стільки ж. На жаль.
loc_zealot_female_a__bonding_conversation_metropolitan_energy_b_01,"Віра дає сили, коли тіло відмовляє. Сьогодні вранці я провела священний ритуал, благаючи Владику дати мені сил."
loc_zealot_female_a__bonding_conversation_metropolitan_energy_d_01,"Я відчуваю, що мої труди говорять самі за себе."
loc_zealot_female_a__bonding_conversation_metropolitan_energy_f_01,Справді.
loc_zealot_female_a__bonding_conversation_metropolitan_faith_b_01,"Воістину! Хоча мене привезли на Атому проти моєї волі, тепер я бачу, що рука Владики Людства завжди була на моєму плечі."
loc_zealot_female_a__bonding_conversation_metropolitan_faith_d_01,"Справді. Наш обов'язок — сплатити цей борг кров'ю. Нашою... або, що краще, кров'ю єретиків."
loc_zealot_female_a__bonding_conversation_metropolitan_fingers_a_01,"Багато разів, Глиба, я бачила, як ти рахуєш на пальцях у «Валькірії». Чому ти це робиш?"
loc_zealot_female_a__bonding_conversation_metropolitan_fingers_c_01,Ти справді інакше не знав би?
loc_zealot_female_a__bonding_conversation_metropolitan_forgiveness_a_01,Не може бути прощення єретикам. Своїми діями зрадник відмовляється від будь-якого права на милосердя.
loc_zealot_female_a__bonding_conversation_metropolitan_forgiveness_c_01,"Щоб ти знав, я — оплот толерантності. Лише наші обставини спонукають мене до нестриманості. Впевненість глузує зі стриманості."
loc_zealot_female_a__bonding_conversation_metropolitan_fury_a_01,"Я спостерігала за тобою, Тамплієре. Ти справді стаєш знаряддям божественної люті."
loc_zealot_female_a__bonding_conversation_metropolitan_fury_c_01,Але хто скеровує твій приціл? Хто дає тобі силу перемагати?
