"key","value"
"loc_account_rank_01","Інквізиторська Печатка (1)"
"loc_account_rank_01_desc","У милосерді, ясність."
"loc_achievements_01","Перші Кроки"
"loc_achievements_01_desc","Ваша подорож починається. Свята Месселіна бачить ваші зусилля і задоволена ними."
"loc_achievements_02","Мандрівник"
"loc_achievements_02_desc","Свята закликає вас. Йдіть за покликом серця до її пробачення."
"loc_achievements_03","Шлях Попереду"
"loc_achievements_03_desc","Ви пройшли довгий шлях і зіткнулися з багатьма випробуваннями, але вони бліднуть у порівнянні з тим, що витерпів наш славетний Святий. Подвійно посилить свої зусилля і рухайтеся вперед во ім'я Бога-Імператора."
"loc_achievements_04","Визначений"
"loc_achievements_04_desc","Твої вчинки показують твою справжню силу. У тобі горить праведний вогонь. Використовуй його, щоб очистити це місце від погані, яка загрожує його душі."
"loc_achievements_05","Тягар Каяття"
"loc_achievements_05_desc","Ти був свідком багатьох жахіть на своєму шляху до спокути. Таке ярмо повинні нести всі, хто прагне насолодитися славою нашого дорогоцінного Святого."
"loc_achievements_06","Рішучий"
"loc_achievements_06_desc","Гартуйся проти підступних дій Архіворога. Ти на власні очі бачив падіння і тління, що виникають, коли душу жертвують пітьмі. Колись 6-ті були горді — найвеличніші герої Тертіуму, а нині зламані, спокусившись облудою і зажерливістю."
"loc_achievements_07","Вірний"
"loc_achievements_07_desc","Ти справді є дитиною Святої. Її світло сяє через твої святі вчинки. Ми не повинні зупинятися у своїх зусиллях. Свята благословляє наші дії. Йди з праведним наміром. Твій ворог злякається перед твоєю силою."
"loc_achievements_08","Славний!"
"loc_achievements_08_desc","Святий, безсумнівно, буде ходити праворуч від тебе. Ці покаяння, які ти взяв на себе, будуть записані навіки. Проспівані для нащадків Архівним Хором і шановані, як і належить шанувати знання про всі святі вчинки."
"loc_achievements_09","Викуплений"
"loc_achievements_09_desc","Bless you, child. Your faith and devotion shine forth. You are surely an example to all who follow the Saint's footsteps. This war may be far from over, but your journey on the path to redemption is complete. For now. Now take your place as a leader, spreading the word of the Saint and helping others follow her path."
"loc_achievements_10","Охоронець"
"loc_achievements_10_desc","У тебе репутація людини, яка дбає про своїх."
"loc_achievements_11","Безкорисливий Захисник"
"loc_achievements_11_desc","Команда на першому місці, місія — на другому. "
"loc_achievements_14","Зек"
"loc_achievements_14_desc","Ти вижив. Це вже щось."
"loc_achievements_15","Гарматне м'ясо"
"loc_achievements_15_desc","Виконав місії та все ще дихаєш? Неймовірно."
"loc_achievements_16","Можливо корисно"
"loc_achievements_16_desc","Морроу припустив, що ти вже мертвий."
"loc_achievements_17","Майже Цінний"
"loc_achievements_17_desc","Zola might remember your name when you perish."
"loc_achievements_18","Досі Пушечне М'ясо"
"loc_achievements_18_desc","Не обманюй себе. Ти тут помреш."
"loc_achievements_19","Забирач Черепів"
"loc_achievements_19_desc","Деяким убивство дається легко."
"loc_achievements_20","Збирач Черепів"
"loc_achievements_20_desc","Єретики бояться твого імені."
"loc_achievements_21","Адепт Ауспексу"
"loc_achievements_21_desc","Тільки не забудь тримати його правильно."
"loc_achievements_22","Слідчий Адепт"
"loc_achievements_22_desc","Ти теж станеш збирачем даних... одного дня."
"loc_achievements_23","Мисливець за Небезпекою"
"loc_achievements_23_desc","Ти не зважаєш на небезпеку."
"loc_achievements_24","Зупинити Гниття"
"loc_achievements_24_desc","Якщо це може померти, ти це вб'єш."
"loc_achievements_25","Молот Зрадників"
"loc_achievements_25_desc"," 6-ий Мобіанський виставили нагороду за твою голову."
"loc_achievements_26","Невтомний"
"loc_achievements_26_desc","Ти й гадки не маєш, що таке зупинитись."
"loc_achievements_27","Шукач Архієретиків"
"loc_achievements_27_desc","Чим більші вони, тим глибше вдоволення."
"loc_achievements_28","Пакунок Грокса"
"loc_achievements_28_desc","Взяти та принести? Якщо це все що потрібно."
"loc_achievements_29","The Emperor's Own"
"loc_achievements_29_desc","Командна робота — шлях до перемоги."
"loc_achievements_30","Територіаліст"
"loc_achievements_30_desc","Єретики не віддадуть навіть сантиметра Тертіума."
"loc_achievements_31","Bringing the Boom"
"loc_achievements_31_desc","Explosives and heretics go together beautifully."
"loc_achievements_32","No One Left Behind"
"loc_achievements_32_desc","It's lonely enough on Atoma without leaving teammates behind."
"loc_achievements_33","Ready for Action"
"loc_achievements_33_desc","An Operative is always on duty."
"loc_achievements_34","Extirpator"
"loc_achievements_34_desc","No mercy for the Enemy Within."
"loc_achievements_35","Ruthless Interrogator"
"loc_achievements_35_desc","Your efficiency has been noted and commended."
"loc_achievements_36","Patrol Adept"
"loc_achievements_36_desc","You're ready to handle anything."
"loc_achievements_37","Onslaught Adept"
"loc_achievements_37_desc","There isn't a mission you can't master."
"loc_achievements_38","Exterminatus Adept"
"loc_achievements_38_desc","Morrow's almost proud. Not that he'd ever say."
"loc_achievements_39","achievements_39"
"loc_achievements_39_desc","This is achievements_39"
"loc_achievements_40","achievements_40"
"loc_achievements_40_desc","This is achievements_40"
"loc_achievements_41","achievements_41"
"loc_achievements_41_desc","This is achievements_41"
"loc_achievements_42","Renowned Theologist"
"loc_achievements_42_desc","Your devotion to the collection and preservation of Holy Scriptures has drawn Hestia's notice. She commends you for your dedication."
"loc_achievements_43","Grim Purpose"
"loc_achievements_43_desc","These foul tomes must not be allowed to fall into enemy hands. Your efforts in retrieving them have made Tertium a safer place. Relatively."
"loc_achievements_44","achievements_44"
"loc_achievements_44_desc","This is achievements_44"
"loc_achievements_45","achievements_45"
"loc_achievements_45_desc","This is achievements_45"
"loc_achievements_46","achievements_46"
"loc_achievements_46_desc","This is achievements_46"
"loc_achievements_47","Headtaker"
"loc_achievements_47_desc","Skulls for the... no, wait, trophies. Yes, they're just trophies."
"loc_achievements_48","achievements_48"
"loc_achievements_48_desc","This is achievements_48"
"loc_achievements_49","Blind Justice"
"loc_achievements_49_desc","There is no such thing as a plea of innocence in my court. A plea of innocence is guilty of wasting my time. - Lord Inquisitor Karamazov"
"loc_achievements_50","achievements_50"
"loc_achievements_50_desc","This is achievements_50"
"loc_achievements_51","achievements_51"
"loc_achievements_51_desc","This is achievements_51"
"loc_achievements_52","achievements_52"
"loc_achievements_52_desc","This is achievements_52"
"loc_achievements_53","achievements_53"
"loc_achievements_53_desc","This is achievements_53"
"loc_achievements_54","achievements_54"
"loc_achievements_54_desc","This is achievements_54"
"loc_achievements_55","achievements_55"
"loc_achievements_55_desc","This is achievements_55"
"loc_achievements_56","achievements_56"
"loc_achievements_56_desc","This is achievements_56"
"loc_achievements_57","achievements_57"
"loc_achievements_57_desc","This is achievements_57"
"loc_achievements_58","achievements_58"
"loc_achievements_58_desc","This is achievements_58"
"loc_achievements_59","achievements_59"
"loc_achievements_59_desc","This is achievements_59"
"loc_achievements_60","achievements_60"
"loc_achievements_60_desc","This is achievements_60"
"loc_achievements_61","achievements_61"
"loc_achievements_61_desc","This is achievements_61"
"loc_achievements_62","achievements_62"
"loc_achievements_62_desc","This is achievements_62"
"loc_achievements_63","achievements_63"
"loc_achievements_63_desc","This is achievements_63"
"loc_achievements_64","achievements_64"
"loc_achievements_64_desc","This is achievements_64"
"loc_achievements_65","achievements_65"
"loc_achievements_65_desc","This is achievements_65"
"loc_achievements_66","achievements_66"
"loc_achievements_66_desc","This is achievements_66"
"loc_achievements_67","achievements_67"
"loc_achievements_67_desc","This is achievements_67"
"loc_achievements_68","Pest Control"
"loc_achievements_68_desc","Could get a job with the Arbites with those dog-handling skills."
"loc_achievements_69","achievements_69"
"loc_achievements_69_desc","This is achievements_69"
"loc_achievements_70","achievements_70"
"loc_achievements_70_desc","This is achievements_70"
"loc_achievements_71","achievements_71"
"loc_achievements_71_desc","This is achievements_71"
"loc_achievements_72","achievements_72"
"loc_achievements_72_desc","This is achievements_72"
"loc_achievements_73","achievements_73"
"loc_achievements_73_desc","This is achievements_73"
"loc_achievements_74","achievements_74"
"loc_achievements_74_desc","This is achievements_74"
"loc_achievements_75","Net Result"
"loc_achievements_75_desc","Whether it's good dodging, fast reflexes or judicious use of a rock, your tactics seem to be working."
"loc_achievements_76","achievements_76"
"loc_achievements_76_desc","This is achievements_76"
"loc_achievements_77","achievements_77"
"loc_achievements_77_desc","This is achievements_77"
"loc_achievements_78","achievements_78"
"loc_achievements_78_desc","This is achievements_78"
"loc_acid_dogs_armageddon_upperbody_a_var_01","Armoured Combat Vest"
"loc_acid_dogs_armageddon_upperbody_a_var_01_desc","The  combination of leather and flak armour provides protection and mobility to the soldier on the move."
"loc_acid_dogs_genstealer_cults_01_b_var_02","Achlys Mk Xf Sparkcutter Mask"
"loc_acid_dogs_genstealer_cults_01_b_var_02_desc","Notorious for the visor flash-clouding if a lasgun discharges too close. Hopefully this one has been retrofitted."
"loc_acid_dogs_genstealer_cults_01_b_var_04","Achlys Mk IIb Sparkcutter Mask"
"loc_acid_dogs_genstealer_cults_01_b_var_04_desc","Emblazoned with a distinctive acid-wastes camo pattern, this one's definitely seen some action."
"loc_acid_dogs_imperial_guard_helmet_06_a_bionic_eye_g_var_01","Achlys Mk IIb Cyclops Helm"
"loc_acid_dogs_imperial_guard_helmet_06_a_bionic_eye_g_var_01_desc","Nah, I don't miss my eye. This one's better, even if it sparks in the rain. Sergeant Redd Wrackham (Deceased)"
"loc_acid_dogs_imperial_guard_helmet_06_a_necromunda_04_a_var_01","Militarum helmet with Protectus mask (Ashen Camo)"
"loc_acid_dogs_imperial_guard_helmet_06_a_necromunda_04_a_var_01_desc","Chem-treated Militarum helmet (Ashen Camo) and full-coverage Protectus mask designed to better withstand corrosive atmospheres. As used during the much-lauded Nocturnus Assault"
"loc_acid_dogs_imperial_guard_helmet_06_b_var_01","Achlys Mk Ie Hardtop Helm"
"loc_acid_dogs_imperial_guard_helmet_06_b_var_01_desc","The chain neck guard was added by a previous owner. May it serve you better."
"loc_acid_dogs_sergeant_ripper_lowerbody_a_var_01","LeatherTanker Togs and Mk IV Ahabian Prosthetic limb"
"loc_acid_dogs_sergeant_ripper_lowerbody_a_var_01_desc","A well-oiled and maintained bionic is an asset to any Astra Militarum soldier. Due to wear, damage, and peroidic malfunction, basic mech-repair is required to keep limb in good working order in the field."
"loc_acid_dogs_sergeant_ripper_lowerbody_a_var_02","Ephestus Pattern Augmetic"
"loc_acid_dogs_sergeant_ripper_lowerbody_a_var_02_desc","A sleek and functional leg replacement. A rather extreme solution for a broken toe, but Krall insisted this was the best option."
"loc_aquila_circlet_a_var_01","Honour the Imperium Circlet"
"loc_aquila_circlet_a_var_01_desc","The Emperor should always be first in your thoughts."
"loc_arches_01","Resilient"
"loc_arches_01_desc","Let them come. You can weather any storm."
"loc_arches_02","Evasive"
"loc_arches_02_desc","The first rule of warfare: don't get hit."
"loc_astra_a_01_headgear_rebreather_02_a_var_01","Gnosis Pattern Rebreather with Psykana Collar"
"loc_astra_a_01_headgear_rebreather_02_a_var_01_desc","A functional rebreather combined with a Psykana collar in bare metal for those who eschew showy attire."
"loc_astra_a_01_headgear_safety_goggles_a_var_01","Melchior Pattern Psykana Collar"
"loc_astra_a_01_headgear_safety_goggles_a_var_01_desc","A no-nonsense, practical piece of equipment. The anti-flare goggles provide some respite from the burning energies of the Warp.  "
