"key","value"
"loc_adamant_a__lore_hive_cities_four_b_02","Продовжуйте стріляти!"
"loc_adamant_female_a__adamant_seen_killstreak_adamant_01","Flawless work, Lexmate."
"loc_adamant_female_a__adamant_seen_killstreak_adamant_02","Impeccable, of course, Lexmate."
"loc_adamant_female_a__adamant_seen_killstreak_adamant_03","You do the scholam proud, Lexmate."
"loc_adamant_female_a__adamant_seen_killstreak_adamant_04","Regard the work of my Lexmate!"
"loc_adamant_female_a__adamant_seen_killstreak_ogryn_01","Proficient work, Behemoth."
"loc_adamant_female_a__adamant_seen_killstreak_ogryn_02","Commendable, Behemoth!"
"loc_adamant_female_a__adamant_seen_killstreak_ogryn_03","The Behemoth shames the rest of you."
"loc_adamant_female_a__adamant_seen_killstreak_ogryn_04","It seems the Behemoth has learned from me!"
"loc_adamant_female_a__adamant_seen_killstreak_psyker_01","Even a Liability is useful once in a while."
"loc_adamant_female_a__adamant_seen_killstreak_psyker_02","I'll grant that was impressive, Liability."
"loc_adamant_female_a__adamant_seen_killstreak_psyker_03","The Liability outperforms the rest of you..."
"loc_adamant_female_a__adamant_seen_killstreak_psyker_04","You find yourselves in the shade of the Liability."
"loc_adamant_female_a__adamant_seen_killstreak_veteran_01","You expect praise for doing your job, conscript?"
"loc_adamant_female_a__adamant_seen_killstreak_veteran_02","I could almost believe you were a professional, conscript."
"loc_adamant_female_a__adamant_seen_killstreak_veteran_03","The conscript almost looks like a real soldier today..."
"loc_adamant_female_a__adamant_seen_killstreak_veteran_04","Satisfactory performance, conscript."
"loc_adamant_female_a__adamant_seen_killstreak_zealot_01","Commendable work, Firebrand!"
"loc_adamant_female_a__adamant_seen_killstreak_zealot_02","The Firebrand shames the rest of you!"
"loc_adamant_female_a__adamant_seen_killstreak_zealot_03","You're delivering the Judge of Terra's justice, Firebrand!"
"loc_adamant_female_a__adamant_seen_killstreak_zealot_04","Laying the enemy low, Firebrand!"
"loc_adamant_female_a__adamant_start_revive_adamant_01","On your feet, Lexmate. "
"loc_adamant_female_a__adamant_start_revive_adamant_02","Up, Lexmate. There is work for us yet. "
"loc_adamant_female_a__adamant_start_revive_adamant_03","Come, Lexmate. The war awaits us. "
"loc_adamant_female_a__adamant_start_revive_adamant_04","Lexmate, you are needed still. "
"loc_adamant_female_a__adamant_start_revive_adamant_05","Do not leave me, Lexmate. "
"loc_adamant_female_a__adamant_start_revive_adamant_06","Fight on with me, Lexmate. "
"loc_adamant_female_a__adamant_start_revive_ogryn_01","Up, Behemoth."
"loc_adamant_female_a__adamant_start_revive_ogryn_02","The war is not over, Behemoth."
"loc_adamant_female_a__adamant_start_revive_ogryn_03","Now is not the time for sleep, Behemoth. "
"loc_adamant_female_a__adamant_start_revive_ogryn_04","You! Behemoth! Get up and fight!"
"loc_adamant_female_a__adamant_start_revive_ogryn_05","Up, fool. The enemy is not defeated. "
"loc_adamant_female_a__adamant_start_revive_ogryn_06","Come, Behemoth. There are more foes for you to slay."
"loc_adamant_female_a__adamant_start_revive_psyker_01","Up, Liability. We have no time for this. "
"loc_adamant_female_a__adamant_start_revive_psyker_02","Liability! On your feet!"
"loc_adamant_female_a__adamant_start_revive_psyker_03","Liability! Your penance is not yet served. "
"loc_adamant_female_a__adamant_start_revive_psyker_04","Up, Liability. Your duty is not done."
"loc_adamant_female_a__adamant_start_revive_psyker_05","On your feet, Liability. We have need of you yet. "
"loc_adamant_female_a__adamant_start_revive_psyker_06","Rise and fight, Liability. "
"loc_adamant_female_a__adamant_start_revive_veteran_01","On your feet, soldier."
"loc_adamant_female_a__adamant_start_revive_veteran_02","Up, Conscript. There is fighting to do."
"loc_adamant_female_a__adamant_start_revive_veteran_03","Rise, Conscript. You are needed in the fight. "
"loc_adamant_female_a__adamant_start_revive_veteran_04","Conscript! You are ordered to stand!"
"loc_adamant_female_a__adamant_start_revive_veteran_05","Conscript! On your feet! Now!"
"loc_adamant_female_a__adamant_start_revive_veteran_06","Stand up and fight, Conscript!"
"loc_adamant_female_a__adamant_start_revive_zealot_01","Come, Firebrand, the enemy awaits you. "
"loc_adamant_female_a__adamant_start_revive_zealot_02","Your fight is not over, Firebrand."
"loc_adamant_female_a__adamant_start_revive_zealot_03","Your service to the Judge of Terra is not over, Firebrand. "
"loc_adamant_female_a__adamant_start_revive_zealot_04","Rise and fight in the Judge of Terra's name. "
"loc_adamant_female_a__adamant_start_revive_zealot_05","Faith and fury, Firebrand. Rise and fight. "
"loc_adamant_female_a__adamant_start_revive_zealot_06","Up, Firebrand. Rise and fight. "
"loc_adamant_female_a__alerted_2_enemy_daemonhost_01","You damned ingrates have woken it!"
"loc_adamant_female_a__alerted_2_enemy_daemonhost_02","Incoming daemonhost!"
"loc_adamant_female_a__alerted_2_enemy_daemonhost_03","Arm yourselves!"
"loc_adamant_female_a__alerted_2_enemy_daemonhost_04","The Daemonhost is roused!"
"loc_adamant_female_a__alerted_2_enemy_daemonhost_05","Code Sextus-three: awoken daemonhost!"
"loc_adamant_female_a__alerted_2_enemy_daemonhost_06","Code Sextus-three!"
"loc_adamant_female_a__alerted_enemy_daemonhost_01","Get back."
"loc_adamant_female_a__alerted_enemy_daemonhost_02","Caution!"
"loc_adamant_female_a__alerted_enemy_daemonhost_03","Move away. Now."
"loc_adamant_female_a__alerted_enemy_daemonhost_04","Do not rouse it!"
"loc_adamant_female_a__alerted_enemy_daemonhost_05","Leave well alone."
"loc_adamant_female_a__alerted_enemy_daemonhost_06","Do not engage."
"loc_adamant_female_a__almost_there_01","Keep it up."
