"key","value"
"loc_ogryn_a__ability_bonebreaker_01","Дай дорогу!"
"loc_ogryn_a__ability_bonebreaker_02","Поламаю тебе!"
"loc_ogryn_a__ability_bonebreaker_03","Я тебе розтопчу!"
"loc_ogryn_a__ability_bonebreaker_04","Ось і я!"
"loc_ogryn_a__ability_bonebreaker_05","Мене не спинити!"
"loc_ogryn_a__ability_bonebreaker_06","Пробиваю шлях!"
"loc_ogryn_a__ability_bonebreaker_07","Я найсильніший!"
"loc_ogryn_a__ability_bonebreaker_08","Мене не спинити!"
"loc_ogryn_a__ability_bonebreaker_09","Геть з дороги!"
"loc_ogryn_a__ability_bonebreaker_10","Прориваюся!"
"loc_ogryn_a__ability_bonebreaker_11","Розтопчу як комашок!"
"loc_ogryn_a__ability_bonebreaker_12","[Рик]"
"loc_ogryn_a__ability_bonebreaker_13","[Рик]"
"loc_ogryn_a__ability_bonebreaker_14","[Сміх]"
"loc_ogryn_a__ability_bonebreaker_15","[Сміх]"
"loc_ogryn_a__ability_bullgryn_01","Це все, що в тебе є?"
"loc_ogryn_a__ability_bullgryn_02","Bring it on!"
"loc_ogryn_a__ability_bullgryn_03","Стукни мене!"
"loc_ogryn_a__ability_bullgryn_04","Ти б'єш, як дитина!"
"loc_ogryn_a__ability_bullgryn_05","All weaklings! Hah!"
"loc_ogryn_a__ability_bullgryn_06","Дай мені справжній бій!"
"loc_ogryn_a__ability_bullgryn_07","Show me what you got!"
"loc_ogryn_a__ability_bullgryn_08","Too tough for you!"
"loc_ogryn_a__ability_bullgryn_09","Я тут! Стукни мене!"
"loc_ogryn_a__ability_bullgryn_10","Get behind me!"
"loc_ogryn_a__ability_bullgryn_11","Behind me, little ones!"
"loc_ogryn_a__ability_bullgryn_12","[Рик]"
"loc_ogryn_a__ability_bullgryn_13","[Рик]"
"loc_ogryn_a__ability_bullgryn_14","[Сміх]"
"loc_ogryn_a__ability_bullgryn_15","[Сміх]"
"loc_ogryn_a__ability_gun_lugger_01","Covering Fire!"
"loc_ogryn_a__ability_gun_lugger_02","Heads down!"
"loc_ogryn_a__ability_gun_lugger_03","Blowing them to bits!"
