﻿"key","value"
"content/characters/player/ogryn/attachments_gear/upperbody/ogryn_upperbody_career_02_attach_lvl_01/ogryn_upperbody_career_02_attach_lvl_01","Plague Ogryn detected."
"loc_archive_servitor_a__activate_from_hibernation_a_01","Deactivating hibernation protocols. Standby ... Standby ... Standby ..."
"loc_archive_servitor_a__activate_from_hibernation_a_03","Begin awakening. Processing dormant instructions. Processing ... Processing ..."
"loc_archive_servitor_a__activate_from_hibernation_a_04","Hail the Omnissiah! Praise ... Praise ... Praise ... his works."
"loc_archive_servitor_a__activate_from_hibernation_a_05","Scrivener protocols aligning. Please wait. Please ... wait ... Please ..."
"loc_archive_servitor_a__player_interact_a_01","Instruction recognised ... Analysing ... Analysing ..."
"loc_archive_servitor_a__player_interact_a_03","Checksum valid. Begin decryption. Accessing ... Accessing ... Accessing ..."
"loc_archive_servitor_a__player_interact_a_04","Accessing data spine. Corrolating results. Interpreting ... Interpreting ..."
"loc_archive_servitor_a__player_interact_a_05","Acknowledged ... Acknowledged ... Acknowledged ... Please wait."
"loc_archive_servitor_a__task_complete_a_01","Process concluded."
"loc_archive_servitor_a__task_complete_a_02","Completed. Is it satisfactory?"
"loc_archive_servitor_a__task_complete_a_03","Process … Process … Complete."
"loc_archive_servitor_a__task_complete_a_04","Accomplished. All routines now concluded."
"loc_archive_servitor_a__task_complete_a_05","Concluded, as instructed."
"loc_barber_a__barber_distance_01","Might I be of service?"
"loc_barber_a__barber_distance_02","You could use a new look."
"loc_barber_a__barber_distance_03","Do you fancy something a little different?"
"loc_barber_a__barber_distance_04","You look fresh off a penal ship. Let me help you with that."
"loc_barber_a__barber_distance_05","You've no style, but I can help."
"loc_barber_a__barber_distance_06","Look at you. I can make you so much better ..."
"loc_barber_a__barber_distance_07","You need a barber. Don't be shy ..."
"loc_barber_a__barber_distance_08","If ever there was a dreg who needed a barber, it's you ..."
"loc_barber_a__barber_distance_09","Don't be afraid of the shears. I've a steady hand. I promise."
"loc_barber_a__barber_distance_10","Roll up! Roll up! Find a new face! A new hair style!"
"loc_barber_a__barber_distance_11","That nose of yours could use a little work."
"loc_barber_a__barber_distance_12","I can make you look like a hero!"
"loc_barber_a__barber_distance_13","No finer augmetics in the Imperium, and that's a promise!"
"loc_barber_a__barber_distance_14","You! Yes, you! Let me do something about those ears!"
"loc_barber_a__barber_distance_15","Don't be wary! I can give you a whole new outlook. Heh."
"loc_barber_a__barber_distance_16","Need a little work done? Step right this way!"
"loc_barber_a__barber_distance_17","Need a little work doing? I can fit you in."
"loc_barber_a__barber_distance_18","Patronised by Grendyl, am I. You can trust my shears."
"loc_barber_a__barber_distance_19","Look at you ... No style at all. Let's fix that!"
"loc_barber_a__barber_distance_20","Barber's services! Haircuts! Face sculpting! Body art!"
"loc_barber_a__barber_goodbye_01","Come back any time."
"loc_barber_a__barber_goodbye_02","I'm always open."
"loc_barber_a__barber_goodbye_03","Leaving so soon?"
"loc_barber_a__barber_goodbye_04","Tell your friends ... if you have any."
"loc_barber_a__barber_goodbye_05","You don't have to go ... unless you want."
"loc_barber_a__barber_goodbye_06","All good things come to an end, eh?"
"loc_barber_a__barber_goodbye_07","Do come back."
"loc_barber_a__barber_goodbye_08","I'll see you again soon."
"loc_barber_a__barber_goodbye_09","You'll be back. They always are."
"loc_barber_a__barber_goodbye_10","Now you be careful. Lots of shady characters about."
"loc_barber_a__barber_goodbye_11","Be careful down there. Heretics have no sense of style."
"loc_barber_a__barber_goodbye_12","Nice talking to you."
"loc_barber_a__barber_goodbye_13","I think I'll be seeing more of you."
"loc_barber_a__barber_goodbye_14","You won't be away long, I trust?"
"loc_barber_a__barber_goodbye_15","Ah. Parting so soon."
"loc_barber_a__barber_goodbye_16","What's the rush?"
"loc_barber_a__barber_goodbye_17","Goodbye. Do come again."
"loc_barber_a__barber_goodbye_18","If you have to go, you have to go."
"loc_barber_a__barber_goodbye_19","Well, don't let me keep you."
"loc_barber_a__barber_goodbye_20","See you again. I'm sure of it."
"loc_barber_a__barber_hello_01","Hello there."
"loc_barber_a__barber_hello_02","Ah ... A new customer."
"loc_barber_a__barber_hello_03","Don't worry. I'll keep both legs the same length."
"loc_barber_a__barber_hello_04","Just how attached are you to those arms?"
"loc_barber_a__barber_hello_06","Hello."
"loc_barber_a__barber_hello_07","What can I do for you?"
"loc_barber_a__barber_hello_08","A pleasure to serve ... slice ... stitch ..."
"loc_barber_a__barber_hello_09","Heh. I knew you'd be coming."
"loc_barber_a__barber_hello_10","Ah-hah. And what can I do for you?"
"loc_barber_a__barber_hello_11","Glad you decided to stop by."
"loc_barber_a__barber_hello_12","Ah ... Yes. You do need my services."
"loc_barber_a__barber_hello_13","And what would you like?"
"loc_barber_a__barber_hello_14","A little off the top ... or something more?"
"loc_barber_a__barber_hello_15","Ah! A customer. Take a seat."
"loc_barber_a__barber_hello_16","Another customer. Busy day."
"loc_barber_a__barber_hello_17","It's been such a rush today, but I think I can fit you in."
"loc_barber_a__barber_hello_18","Let's see what we can do with you."
"loc_barber_a__barber_hello_19","Heh. You were expected."
"loc_barber_a__barber_hello_20","Let's get you looking fit to take on the world. Any world."
"loc_barber_a__barber_intro_a_01","My name’s Krall. Oska Krall. I specialise in new outlooks on life. Don’t like your ears, your hair, your nose?"
"loc_barber_a__barber_intro_b_01","I can fix that … for a price. Make you the talk of the Mourningstar."
"loc_barber_a__barber_intro_c_01","Your personality though? There you’re on your own."
"loc_barber_a__barber_intro_d_01","I’m good, but I can’t work miracles … whatever Hallowette might tell you."
"loc_barber_a__barber_purchase_01","Yes ... I think I can work with you."
"loc_barber_a__barber_purchase_02","An excellent choice."
"loc_barber_a__barber_purchase_03","Oh, very dashing."
"loc_barber_a__barber_purchase_04","You'll be the envy of the Mourningstar."
"loc_barber_a__barber_purchase_05","Won't that look nice?"
"loc_barber_a__barber_purchase_06","Hold still. We don't want any accidents."
"loc_barber_a__barber_purchase_07","Well, there's no accounting for taste."
"loc_barber_a__barber_purchase_08","You know, that's a popular choice."
"loc_barber_a__barber_purchase_09","Interesting ... but I suppose you'll be noticed."
"loc_barber_a__barber_purchase_10","Oh yes, I always enjoy that one."
"loc_barber_a__barber_purchase_11","Please don't cry out. I have a delicate disposition."
"loc_barber_a__barber_purchase_12","No ... No ... I'm sure that will look just fine."
"loc_barber_a__barber_purchase_13","Not what I'd have chosen, but you're the customer."
"loc_barber_a__barber_purchase_14","An ... unusual choice."
"loc_barber_a__barber_purchase_15","Oh yes. This will be good."
"loc_barber_a__barber_purchase_16","You're the boss."
"loc_barber_a__barber_purchase_17","Let's get started, eh?"
"loc_barber_a__barber_purchase_18","Heh. I thought that was what you wanted."
"loc_barber_a__barber_purchase_19","It's a pleasure to serve someone who knows what they want."
"loc_barber_a__barber_purchase_20","Really? Well, we can always try this again."
"loc_barber_a__hub_intro_barber_a_01","Well ... hello my friend! So you received my invitation?"
"loc_barber_a__hub_intro_barber_b_01","Even in the thick of war, it's not all marching around, shooting and shouting, you know. There's still room for art, heh?"
"loc_barber_a__hub_intro_barber_c_01","Not for Oska Krall the mediums of parchment or cold stone, no no no. "
"loc_barber_a__hub_intro_barber_d_01","I sculpt in blood and bone. Peeling back fleshy illusion to reveal shining truth hidden within."
"loc_barber_a__hub_intro_barber_e_01","So many truths. So difficult to bring to the surface, but I persevere. The craft demands it."
"loc_barber_a__hub_intro_barber_f_01","Together, we will make a masterpiece of you. You'll see."
"loc_barber_a__hub_intro_barber_g_01","And if we don't succeed? ... Well, there's always tomorrow."
"loc_barber_a__hub_rumour_escalation_01_a_01","If you ask me, the war will not stay contained for long."
"loc_barber_a__hub_rumour_escalation_01_a_02","It is war. War does not end, it only escalates. And spreads, you hear what I am saying?"
"loc_barber_a__hub_rumour_escalation_01_a_03","More soldiers arrive daily. Good for business, bad for fighters, eh?"
"loc_barber_a__hub_rumour_escalation_01_a_04","A closely contained battle can only be contained for a while. Then... boom! War everywhere. "
"loc_barber_a__hub_rumour_escalation_01_a_05","Mark my words. This is just the beginning."
"loc_barber_a__hub_rumour_escalation_01_a_06","Where do I think this will end? I will tell you. More fighting. That's where."
"loc_barber_a__hub_rumour_escalation_01_a_07","Today a battle, tomorrow a war... where will it end?"
