"key","value"
"loc_veteran_female_a__ability_ranger_01","Прицільний вогонь!"
"loc_veteran_female_a__ability_ranger_02","Engaging priority target!"
"loc_veteran_female_a__ability_ranger_03","Bastion Two-Twenty combat stance!"
"loc_veteran_female_a__ability_ranger_04","Bastion Two-Twenty engaged!"
"loc_veteran_female_a__ability_ranger_05","Sighted in! Engaging!"
"loc_veteran_female_a__ability_ranger_06","Readying killshot."
"loc_veteran_female_a__ability_ranger_07","Headhunting!"
"loc_veteran_female_a__ability_ranger_08","Eliminating alpha target."
"loc_veteran_female_a__ability_ranger_09","Eliminating primary target."
"loc_veteran_female_a__ability_ranger_10","Engaging critical target."
"loc_veteran_female_a__ability_ranger_11","Sighting in!"
"loc_veteran_female_a__ability_ranger_12","Can't miss. Won't miss."
"loc_veteran_female_a__ability_ranger_13","Precision fire underway!"
"loc_veteran_female_a__ability_ranger_14","Engaging precision fire!"
"loc_veteran_female_a__ability_ranger_15","Killshot drills engaged!"
"loc_veteran_female_a__ability_shock_trooper_01","Adopting low profile."
"loc_veteran_female_a__ability_shock_trooper_02","Creeper 3-12 combat stance!"
"loc_veteran_female_a__ability_shock_trooper_03","Creeper 3-12 engaged!"
"loc_veteran_female_a__ability_shock_trooper_04","Stalking the enemy."
"loc_veteran_female_a__ability_shock_trooper_05","Adopting stealth."
"loc_veteran_female_a__ability_shock_trooper_06","Prepping stealth strike."
"loc_veteran_female_a__ability_shock_trooper_07","Moving to ambush position."
"loc_veteran_female_a__ability_shock_trooper_08","Disengaging ... I'll be back."
"loc_veteran_female_a__ability_shock_trooper_09","Low profile engaged. Redeploying."
"loc_veteran_female_a__ability_shock_trooper_10","Moving to better ground."
"loc_veteran_female_a__ability_shock_trooper_12","Find me now, you fraggers!"
"loc_veteran_female_a__ability_shock_trooper_13","Going stealthy ..."
"loc_veteran_female_a__ability_shock_trooper_14","Operating in low profile."
"loc_veteran_female_a__ability_squad_leader_01","Stand up and fight!"
"loc_veteran_female_a__ability_squad_leader_02","For the Emperor!"
"loc_veteran_female_a__ability_squad_leader_03","Hammer of the Emperor!"
"loc_veteran_female_a__ability_squad_leader_04","For the Guard!"
"loc_veteran_female_a__ability_squad_leader_05","Fight like you fragging mean it!"
"loc_veteran_female_a__ability_squad_leader_06","Show me what you've got!"
"loc_veteran_female_a__ability_squad_leader_07","No surrender!"
"loc_veteran_female_a__ability_squad_leader_08","For the Golden fragging Throne!"
"loc_veteran_female_a__ability_squad_leader_09","Stand together! Fight together!"
"loc_veteran_female_a__ability_squad_leader_10","The Guard never surrenders!"
"loc_veteran_female_a__ability_squad_leader_11","Fight or answer to me!"
"loc_veteran_female_a__ability_squad_leader_12","Victory or death!"
"loc_veteran_female_a__ability_squad_leader_13","Rally formation! Right fragging now!"
"loc_veteran_female_a__ability_squad_leader_14","To me! ... Give them hel!"
"loc_veteran_female_a__ability_squad_leader_15","Weapons up! Drive them back!"
"loc_veteran_female_a__alerted_2_enemy_daemonhost_01","It's going to attack!"
"loc_veteran_female_a__alerted_2_enemy_daemonhost_02","Look out!"
"loc_veteran_female_a__alerted_2_enemy_daemonhost_03","Look out!"
"loc_veteran_female_a__alerted_2_enemy_daemonhost_04","Get clear!"
"loc_veteran_female_a__alerted_2_enemy_daemonhost_05","Get back!"
"loc_veteran_female_a__alerted_2_enemy_daemonhost_06","It's attacking!"
"loc_veteran_female_a__alerted_2_enemy_daemonhost_07","We've made it angry!"
"loc_veteran_female_a__alerted_2_enemy_daemonhost_08","We've done it now!"
"loc_veteran_female_a__alerted_2_enemy_daemonhost_09","No! It's attacking!"
"loc_veteran_female_a__alerted_2_enemy_daemonhost_10","Get away! Get away!"
"loc_veteran_female_a__alerted_enemy_daemonhost_01","Don't disturb it!"
"loc_veteran_female_a__alerted_enemy_daemonhost_02","Leave it be!"
