"key","value"
"loc_zealot_female_a__ability_banisher_01","Господарю, благослови цю зброю!"
"loc_zealot_female_a__ability_banisher_02","Master, anoint this weapon!"
"loc_zealot_female_a__ability_banisher_03","Master, grant me your wrath!"
"loc_zealot_female_a__ability_banisher_04","Let wrath consume my foes!"
"loc_zealot_female_a__ability_banisher_05","I calleth forth the Master's holy wrath!"
"loc_zealot_female_a__ability_banisher_06","Granteth me blessings of fire!"
"loc_zealot_female_a__ability_banisher_07","Let holy flame pureth the foe!"
"loc_zealot_female_a__ability_banisher_08","Master! Grant me your wrath!"
"loc_zealot_female_a__ability_banisher_09","Flame shall purgeth these sinners!"
"loc_zealot_female_a__ability_banisher_10","I call forth redemptor's flame!"
"loc_zealot_female_a__ability_banisher_impact_01","Die! DIE!"
"loc_zealot_female_a__ability_banisher_impact_02","Begone!"
"loc_zealot_female_a__ability_banisher_impact_03","I purge thee!"
"loc_zealot_female_a__ability_banisher_impact_04","Thou art redeemed!"
"loc_zealot_female_a__ability_banisher_impact_05","Thou art nothing!"
"loc_zealot_female_a__ability_banisher_impact_06","Yes! Yes! YES!"
"loc_zealot_female_a__ability_banisher_impact_07","Purge the heretic, the mutant, the unclean ..."
"loc_zealot_female_a__ability_banisher_impact_08","To hel with thee!"
"loc_zealot_female_a__ability_banisher_impact_09","Fall, sinner!"
"loc_zealot_female_a__ability_banisher_impact_10","I am blessed!"
"loc_zealot_female_a__ability_litany_temp_01","Purgeth these sinners!"
"loc_zealot_female_a__ability_litany_temp_02","Begone!"
"loc_zealot_female_a__ability_litany_temp_03","Guide my fury!"
"loc_zealot_female_a__ability_litany_temp_04","So be it!"
"loc_zealot_female_a__ability_litany_temp_05","For the master!"
"loc_zealot_female_a__ability_litany_temp_06","All shall perish!"
"loc_zealot_female_a__ability_litany_temp_07","Repent!"
"loc_zealot_female_a__ability_litany_temp_08","Begone!"
"loc_zealot_female_a__ability_maniac_01","For the Master of Mankind!"
"loc_zealot_female_a__ability_maniac_02","Repent, heretics!"
"loc_zealot_female_a__ability_maniac_03","Praise the Master!"
"loc_zealot_female_a__ability_maniac_04","I am thy death!"
"loc_zealot_female_a__ability_maniac_05","Master grant me strength!"
"loc_zealot_female_a__ability_maniac_06","Repent! Repent!"
"loc_zealot_female_a__ability_maniac_07","Confess your sins!"
"loc_zealot_female_a__ability_maniac_08","I shall purge thee!"
"loc_zealot_female_a__ability_maniac_09","Smite thee!"
"loc_zealot_female_a__ability_maniac_10","Master, see my deeds!"
"loc_zealot_female_a__ability_maniac_11","I shall redeem thee!"
"loc_zealot_female_a__ability_maniac_12","Thy doom comes!"
"loc_zealot_female_a__ability_maniac_13","Judgement comes!"
"loc_zealot_female_a__ability_maniac_14","Thou art doomed!"
"loc_zealot_female_a__ability_maniac_15","In the Master’s name!"
"loc_zealot_female_a__ability_pious_stabber_01","I worketh unseen."
"loc_zealot_female_a__ability_pious_stabber_02","In the shadows, redemption."
"loc_zealot_female_a__ability_pious_stabber_03","Blessed Master, conceal me."
"loc_zealot_female_a__ability_pious_stabber_04","Master hide my steps."
"loc_zealot_female_a__ability_pious_stabber_05","I walketh in shadow."
"loc_zealot_female_a__ability_pious_stabber_06","Let them feareth my coming ..."
"loc_zealot_female_a__ability_pious_stabber_07","I prowleth unseen ..."
"loc_zealot_female_a__ability_pious_stabber_08","I labour ever in the darkness ..."
"loc_zealot_female_a__ability_pious_stabber_09","I will find thee, heretic."
"loc_zealot_female_a__ability_pious_stabber_10","A cloak of faith concealeth all ..."
"loc_zealot_female_a__ability_pious_stabber_11","Master shield me from sight ..."
"loc_zealot_female_a__ability_pious_stabber_12","In shadows of the Master's making ..."
"loc_zealot_female_a__ability_pious_stabber_13","Faith is brightest in the dark ..."
"loc_zealot_female_a__ability_pious_stabber_14","I strike unseen ..."
"loc_zealot_female_a__ability_pious_stabber_15","In shadows I find thee, sinners ..."
"loc_zealot_female_a__ability_repent_a_01","Repent!"
"loc_zealot_female_a__ability_repent_a_02","I call upon thee, Master!"
"loc_zealot_female_a__ability_repent_a_03","Begone, heretics!"
"loc_zealot_female_a__ability_repent_a_04","Curse thee!"
"loc_zealot_female_a__ability_repent_a_05","I abjure thee!"
"loc_zealot_female_a__ability_repent_a_06","Quail, heretics!"
"loc_zealot_female_a__ability_repent_a_07","Master, lend me thy might!"
"loc_zealot_female_a__ability_repent_a_08","Master, let thy presence be known!"
"loc_zealot_female_a__ability_repent_a_09","I call the light!"
"loc_zealot_female_a__ability_repent_a_10","I am righteous!"
"loc_zealot_female_a__alerted_2_enemy_daemonhost_01","See! It rouses!"
"loc_zealot_female_a__alerted_2_enemy_daemonhost_02","Beware!"
"loc_zealot_female_a__alerted_2_enemy_daemonhost_03","Beware!"
"loc_zealot_female_a__alerted_2_enemy_daemonhost_04","Master, shield us!"
"loc_zealot_female_a__alerted_2_enemy_daemonhost_05","Guard thyselves!"
"loc_zealot_female_a__alerted_2_enemy_daemonhost_06","It rouses to wrath!"
"loc_zealot_female_a__alerted_2_enemy_daemonhost_07","The Daemon wakes!"
"loc_zealot_female_a__alerted_2_enemy_daemonhost_08","The Daemon wakes!"
"loc_zealot_female_a__alerted_2_enemy_daemonhost_09","Abjure! Abjure!"
"loc_zealot_female_a__alerted_2_enemy_daemonhost_10","Smite it! Smite it!"
"loc_zealot_female_a__alerted_enemy_daemonhost_01","Let it be!"
"loc_zealot_female_a__alerted_enemy_daemonhost_02","Let it alone!"
"loc_zealot_female_a__alerted_enemy_daemonhost_03","Do not rouse it!"
"loc_zealot_female_a__alerted_enemy_daemonhost_04","No! Leave it!"
"loc_zealot_female_a__alerted_enemy_daemonhost_05","Curse you! Let it alone!"
"loc_zealot_female_a__alerted_enemy_daemonhost_06","Do not disturb it!"
"loc_zealot_female_a__alerted_enemy_daemonhost_07","Let it dream!"
"loc_zealot_female_a__alerted_enemy_daemonhost_08","Back! Back at once!"
"loc_zealot_female_a__alerted_enemy_daemonhost_09","No! Do not awaken it!"
"loc_zealot_female_a__alerted_enemy_daemonhost_10","thou will wake it!"
"loc_zealot_female_a__almost_there_01","We approach our destination!"
"loc_zealot_female_a__almost_there_02","One final effort!"
"loc_zealot_female_a__almost_there_03","The Master smiles upon us, and rewards us with salvation!"
"loc_zealot_female_a__almost_there_04","Praise the Master, our steed awaits!"
"loc_zealot_female_a__almost_there_05","Master be praised! We return in triumph!"
"loc_zealot_female_a__asset_foul_smoke_01","The air [Cough]... Fouler than a heretic's breath."
"loc_zealot_female_a__asset_foul_smoke_02","Mine lungs burn like helfire [Cough]"
"loc_zealot_female_a__asset_foul_smoke_03","[Cough] What noxious fume do we breathe?"
"loc_zealot_female_a__asset_foul_smoke_04","Contagion! [Laboured Breathing] Contagion in the air!"
"loc_zealot_female_a__asset_grease_pit_01","Be mindful where thou treadeth. That waste pit will swallow thee without a trace."
"loc_zealot_female_a__asset_grease_pit_02","A vile sludge. A sinner's mind could be said to be thus."
"loc_zealot_female_a__asset_nurgle_growth_01","See the pestilential fruits of heresy!"
"loc_zealot_female_a__asset_nurgle_growth_02","Behold, the noxious contagion of Chaos!"
"loc_zealot_female_a__asset_nurgle_growth_03","Feast thine eyes on that vile sludge!"
"loc_zealot_female_a__asset_nurgle_growth_04","Blessed Master, this filth is everywhere!"
"loc_zealot_female_a__asset_nurgle_growth_05","By the Master, I weep to see such corruption rampant on Atoma!"
"loc_zealot_female_a__asset_sigil_01","Ah. The symbol of the consulate. A most holy office, charged with weeding out apostates and ne'er do wells upon arrival."
"loc_zealot_female_a__asset_sigil_02","Sad that such a noble office as a consulate has fallen upon hard times."
"loc_zealot_female_a__asset_unnatural_dark_a_01","Dark as the blackest pit ahead."
"loc_zealot_female_a__asset_unnatural_dark_a_02","These slovenly wretches hath not maintained the lights..."
"loc_zealot_female_a__asset_unnatural_dark_a_03","Careful imbeciles. Dark paths lie ahead."
"loc_zealot_female_a__asset_unnatural_dark_a_04","The Master's light hath not reached this place."
"loc_zealot_female_a__asset_unnatural_dark_b_01","We are all but sparks in the gloom..."
"loc_zealot_female_a__asset_unnatural_dark_b_02","Master's mercy, might we have some light?"
"loc_zealot_female_a__asset_unnatural_dark_b_03","If only these lazy imbeciles had cared for the lights..."
"loc_zealot_female_a__asset_unnatural_dark_b_04","Must we labour always in perfidious gloom?"
