"key","value"
"loc_ability_fire_grenade","Вогняна Граната"
"loc_ability_frag_grenade","Осколкова Граната"
"loc_ability_frag_grenade_description","Осколкова граната, що вибухає через короткий проміжок часу після активації запалу."
"loc_ability_krak_grenade","Крак Граната"
"loc_ability_krak_grenade_description","Кидок кумулятивної гранати, яка прилипає до ворога і завдає руйнівної шкоди."
"loc_ability_ogryn_charge","Шалений Прорив  "
"loc_ability_ogryn_charge_description","Ривок уперед, що відкидає ворогів і дає {attack_speed:%d} Швидкості Атаки та {move_speed:%d} Швидкості Руху на {duration:%d}с.  "
"loc_ability_ogryn_charge_description_new","Потужний ривок уперед, що відкидає ворогів і Збиває їх із Рівноваги. Додатково дає {attack_speed:%s} Швидкості Атаки та {move_speed:%s} Швидкості Руху на {duration:%s}с. Ривок зупиняється при зіткненні з ворогами у карапасній броні, непохитними ворогами та потворами.\n\nБазове відновлення: {cooldown:%s}с."
"loc_ability_ogryn_friend_rock","Великий Камінчик Дружби"
"loc_ability_ogryn_friend_rock_desc","Кидок величезної каменюки або шматка брухту в Одного Ворога. Менш ефективний проти Панцерної Броні та Непохитних Ворогів. Новий валун підбирається кожні {recharge:%s}с, можна тримати до {max_charges:%s} каменюк одночасно."
"loc_ability_ogryn_grenade_box","Велика Коробка Болю"
"loc_ability_ogryn_grenade_box_description","Кидок коробки гранат із великою силою і повною ентузіазму, що завдає масивної Шкоди Одному Ворогу."
"loc_ability_ogryn_grenade_demolition","Осколкова Бомба"
"loc_ability_ogryn_grenade_demolition_desc","Кидок осколкової гранати розміру вартої Оґрина (єдиний правильний розмір!) з радіусом вибуху {radius:%s}м, що завдає збільшеної Шкоди в епіцентрі."
"loc_ability_ogryn_objective_1","Збивання з рівноваги Дрібних Ворогів"
"loc_ability_ogryn_objective_2","Збивання з рівноваги Великого Ворога"
"loc_ability_ogryn_taunt_shout","Вірний Захисник"
"loc_ability_ogryn_taunt_shout_desc","Насмішка над ворогами в радіусі {radius:%s}м, змушуючи їх атакувати лише тебе протягом {duration:%s}с.\n\nБазове відновлення: {cooldown:%s}с"
"loc_ability_psyker_blitz_throwing_knives","Псайк-кидок"
"loc_ability_psyker_blitz_throwing_knives_description","Кидок швидких самонаведених снарядів, сформованих із псайкерської енергії. Менш ефективний проти Панцерної Броні."
"loc_ability_psyker_chain_lightning","Блискавичний Розряд"
"loc_ability_psyker_chain_lightning_description","Вивільнення потоку Біо-блискавки — швидкої, утримуваної  атака, що Зковує ворога, Приголомшуючи його та завдаючи Шкоди. Потік розповсюджується на сусідніх Ворогів. Накопичення Заряду підсилює швидкість поширення та величину Шкоди."
"loc_ability_psyker_gunslinger_aura","Провидіння"
"loc_ability_psyker_gunslinger_aura_description","Ти та союзники в Єдності отримуєте {critical_strike_chance:%s} Шанс Критичного Удару."
"loc_ability_psyker_objective_1","Отримати 50% Перегріву"
"loc_ability_psyker_objective_2","Зняти Перегрів бойовою здібністю"
"loc_ability_psyker_objective_3","Збити з Рівноваги Ворогів"
"loc_ability_psyker_overcharge_movement_speed","Варп-Швидкість"
"loc_ability_psyker_overcharge_movement_speed_description","Тепер поки {talent_name:%s} активний, збільшується Швидкість Руху на {movement_speed:%s}, ."
"loc_ability_psyker_overcharge_reduced_toughness_damage_taken","Витривалість"
"loc_ability_psyker_overcharge_reduced_toughness_damage_taken_description","Тепер поки {talent_name:%s} активний, отримується {tdr:%s} Зменшення Шкоди по Щитам"
"loc_ability_psyker_overcharge_reduced_warp_charge","Якір Реальності"
"loc_ability_psyker_overcharge_reduced_warp_charge_description","Тепер поки {talent_name:%s} активний, також зменшується генерація Перегріву, на {warp_charge:%s}."
"loc_ability_psyker_overcharge_weakspot","Прозорливість"
